"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1869,"235",2020-07-01,235
"Acton",2019,"159",2020-07-01,159
"Acushnet",1071,"92",2020-07-01,92
"Adams",584,"35",2020-07-01,35
"Agawam",3093,"455",2020-07-01,455
"Alford",24,"<5",2020-07-01,2
"Amesbury",1728,"179",2020-07-01,179
"Amherst",2004,"94",2020-07-01,94
"Andover",3755,"315",2020-07-01,315
"Aquinnah",48,"<5",2020-07-01,2
"Arlington",4244,"307",2020-07-01,307
"Ashburnham",535,"32",2020-07-01,32
"Ashby",251,"15",2020-07-01,15
"Ashfield",97,"<5",2020-07-01,2
"Ashland",1860,"247",2020-07-01,247
"Athol",1340,"65",2020-07-01,65
"Attleboro",4701,"661",2020-07-01,661
"Auburn",1839,"214",2020-07-01,214
"Avon",522,"73",2020-07-01,73
"Ayer",2139,"140",2020-07-01,140
"Barnstable",4304,"365",2020-07-01,365
"Barre",483,"62",2020-07-01,62
"Becket",132,"14",2020-07-01,14
"Bedford",4711,"273",2020-07-01,273
"Belchertown",1150,"105",2020-07-01,105
"Bellingham",1408,"127",2020-07-01,127
"Belmont",2325,"229",2020-07-01,229
"Berkley",679,"71",2020-07-01,71
"Berlin",284,"20",2020-07-01,20
"Bernardston",174,"7",2020-07-01,7
"Beverly",4314,"608",2020-07-01,608
"Billerica",4524,"547",2020-07-01,547
"Blackstone",775,"49",2020-07-01,49
"Blandford",62,"<5",2020-07-01,2
"Bolton",380,"11",2020-07-01,11
"Boston",90323,"13996",2020-07-01,13996
"Bourne",1974,"155",2020-07-01,155
"Boxborough",416,"25",2020-07-01,25
"Boxford",616,"42",2020-07-01,42
"Boylston",392,"20",2020-07-01,20
"Braintree",4894,"812",2020-07-01,812
"Brewster",932,"103",2020-07-01,103
"Bridgewater",4060,"357",2020-07-01,357
"Brimfield",239,"6",2020-07-01,6
"Brockton",17405,"4225",2020-07-01,4225
"Brookfield",238,"19",2020-07-01,19
"Brookline",5137,"393",2020-07-01,393
"Buckland",25,"8",2020-07-01,8
"Burlington",2691,"267",2020-07-01,267
"Cambridge",19762,"975",2020-07-01,975
"Canton",2965,"286",2020-07-01,286
"Carlisle",366,"17",2020-07-01,17
"Carver",1021,"59",2020-07-01,59
"Charlemont",97,"<5",2020-07-01,2
"Charlton",1403,"79",2020-07-01,79
"Chatham",640,"18",2020-07-01,18
"Chelmsford",4509,"335",2020-07-01,335
"Chelsea",8453,"2944",2020-07-01,2944
"Cheshire",230,"<5",2020-07-01,2
"Chester",88,"<5",2020-07-01,2
"Chesterfield",69,"<5",2020-07-01,2
"Chicopee",5199,"443",2020-07-01,443
"Chilmark",297,"<5",2020-07-01,2
"Clarksburg",94,"7",2020-07-01,7
"Clinton",1796,"249",2020-07-01,249
"Cohasset",559,"28",2020-07-01,28
"Colrain",106,"<5",2020-07-01,2
"Concord",2771,"170",2020-07-01,170
"Conway",146,"<5",2020-07-01,2
"Cummington",75,"<5",2020-07-01,2
"Dalton",600,"16",2020-07-01,16
"Danvers",4408,"737",2020-07-01,737
"Dartmouth",4387,"391",2020-07-01,391
"Dedham",3176,"405",2020-07-01,405
"Deerfield",410,"10",2020-07-01,10
"Dennis",1312,"96",2020-07-01,96
"Dighton",738,"67",2020-07-01,67
"Douglas",642,"47",2020-07-01,47
"Dover",389,"18",2020-07-01,18
"Dracut",4503,"465",2020-07-01,465
"Dudley",849,"95",2020-07-01,95
"Dunstable",248,"10",2020-07-01,10
"Duxbury",1714,"114",2020-07-01,114
"East Bridgewater",1483,"180",2020-07-01,180
"East Brookfield",140,"13",2020-07-01,13
"East Longmeadow",1775,"273",2020-07-01,273
"Eastham",391,"10",2020-07-01,10
"Easthampton",1413,"85",2020-07-01,85
"Easton",2492,"274",2020-07-01,274
"Edgartown",823,"8",2020-07-01,8
"Egremont",74,"5",2020-07-01,5
"Erving",145,"6",2020-07-01,6
"Essex",295,"24",2020-07-01,24
"Everett",7104,"1765",2020-07-01,1765
"Fairhaven",2396,"241",2020-07-01,241
"Fall River",12916,"1595",2020-07-01,1595
"Falmouth",3871,"202",2020-07-01,202
"Fitchburg",6086,"795",2020-07-01,795
"Florida",39,"<5",2020-07-01,2
"Foxborough",1609,"115",2020-07-01,115
"Framingham",9375,"1734",2020-07-01,1734
"Franklin",2500,"136",2020-07-01,136
"Freetown",873,"99",2020-07-01,99
"Gardner",3710,"195",2020-07-01,195
"Georgetown",686,"60",2020-07-01,60
"Gill",87,"<5",2020-07-01,2
"Gloucester",2447,"257",2020-07-01,257
"Goshen",29,"<5",2020-07-01,2
"Gosnold",0,"0",2020-07-01,0
"Grafton",1489,"95",2020-07-01,95
"Granby",404,"28",2020-07-01,28
"Granville",131,"12",2020-07-01,12
"Great Barrington",1129,"73",2020-07-01,73
"Greenfield",2037,"203",2020-07-01,203
"Groton",965,"43",2020-07-01,43
"Groveland",572,"35",2020-07-01,35
"Hadley",705,"44",2020-07-01,44
"Halifax",731,"56",2020-07-01,56
"Hamilton",583,"37",2020-07-01,37
"Hampden",491,"98",2020-07-01,98
"Hancock",15,"<5",2020-07-01,2
"Hanover",1206,"78",2020-07-01,78
"Hanson",1012,"110",2020-07-01,110
"Hardwick",184,"9",2020-07-01,9
"Harvard",401,"18",2020-07-01,18
"Harwich",1443,"125",2020-07-01,125
"Hatfield",268,"17",2020-07-01,17
"Haverhill",8863,"1242",2020-07-01,1242
"Hawley",7,"0",2020-07-01,0
"Heath",28,"0",2020-07-01,0
"Hingham",2569,"278",2020-07-01,278
"Hinsdale",194,"<5",2020-07-01,2
"Holbrook",1349,"193",2020-07-01,193
"Holden",2018,"122",2020-07-01,122
"Holland",134,"8",2020-07-01,8
"Holliston",1218,"56",2020-07-01,56
"Holyoke",5687,"913",2020-07-01,913
"Hopedale",728,"42",2020-07-01,42
"Hopkinton",1566,"125",2020-07-01,125
"Hubbardston",365,"6",2020-07-01,6
"Hudson",1891,"192",2020-07-01,192
"Hull",884,"51",2020-07-01,51
"Huntington",167,"14",2020-07-01,14
"Ipswich",1331,"71",2020-07-01,71
"Kingston",1437,"136",2020-07-01,136
"Lakeville",965,"59",2020-07-01,59
"Lancaster",756,"100",2020-07-01,100
"Lanesborough",223,"8",2020-07-01,8
"Lawrence",15752,"3553",2020-07-01,3553
"Lee",584,"19",2020-07-01,19
"Leicester",1186,"151",2020-07-01,151
"Lenox",816,"13",2020-07-01,13
"Leominster",5952,"694",2020-07-01,694
"Leverett",149,"<5",2020-07-01,2
"Lexington",2850,"329",2020-07-01,329
"Leyden",12,"0",2020-07-01,0
"Lincoln",719,"40",2020-07-01,40
"Littleton",863,"98",2020-07-01,98
"Longmeadow",1538,"217",2020-07-01,217
"Lowell",19524,"2895",2020-07-01,2895
"Ludlow",2006,"125",2020-07-01,125
"Lunenburg",1045,"63",2020-07-01,63
"Lynn",15005,"3635",2020-07-01,3635
"Lynnfield",1237,"95",2020-07-01,95
"Malden",8303,"1237",2020-07-01,1237
"Manchester",354,"20",2020-07-01,20
"Mansfield",2138,"161",2020-07-01,161
"Marblehead",2151,"233",2020-07-01,233
"Marion",620,"13",2020-07-01,13
"Marlborough",5689,"988",2020-07-01,988
"Marshfield",2292,"169",2020-07-01,169
"Mashpee",1634,"63",2020-07-01,63
"Mattapoisett",570,"37",2020-07-01,37
"Maynard",1046,"70",2020-07-01,70
"Medfield",947,"36",2020-07-01,36
"Medford",7864,"1032",2020-07-01,1032
"Medway",1091,"118",2020-07-01,118
"Melrose",3095,"245",2020-07-01,245
"Mendon",458,"30",2020-07-01,30
"Merrimac",591,"35",2020-07-01,35
"Methuen",6933,"1015",2020-07-01,1015
"Middleborough",2806,"268",2020-07-01,268
"Middlefield",13,"0",2020-07-01,0
"Middleton",1102,"167",2020-07-01,167
"Milford",3801,"646",2020-07-01,646
"Millbury",1513,"213",2020-07-01,213
"Millis",678,"48",2020-07-01,48
"Millville",253,"20",2020-07-01,20
"Milton",2648,"302",2020-07-01,302
"Monroe",8,"0",2020-07-01,0
"Monson",591,"37",2020-07-01,37
"Montague",805,"28",2020-07-01,28
"Monterey",59,"0",2020-07-01,0
"Montgomery",15,"<5",2020-07-01,2
"Mount Washington",2,"0",2020-07-01,0
"Nahant",357,"40",2020-07-01,40
"Nantucket",1143,"16",2020-07-01,16
"Natick",3338,"418",2020-07-01,418
"Needham",2930,"330",2020-07-01,330
"New Ashford",8,"0",2020-07-01,0
"New Bedford",14464,"2138",2020-07-01,2138
"New Braintree",63,"<5",2020-07-01,2
"New Marlborough",80,"7",2020-07-01,7
"New Salem",74,"<5",2020-07-01,2
"Newbury",549,"13",2020-07-01,13
"Newburyport",2181,"99",2020-07-01,99
"Newton",9576,"773",2020-07-01,773
"Norfolk",1840,"27",2020-07-01,27
"North Adams",915,"46",2020-07-01,46
"North Andover",3792,"343",2020-07-01,343
"North Attleborough",2360,"255",2020-07-01,255
"North Brookfield",332,"17",2020-07-01,17
"North Reading",1388,"191",2020-07-01,191
"Northampton",3452,"275",2020-07-01,275
"Northborough",1631,"224",2020-07-01,224
"Northbridge",1942,"312",2020-07-01,312
"Northfield",209,"<5",2020-07-01,2
"Norton",1735,"135",2020-07-01,135
"Norwell",957,"122",2020-07-01,122
"Norwood",4077,"580",2020-07-01,580
"Oak Bluffs",652,"5",2020-07-01,5
"Oakham",139,"7",2020-07-01,7
"Orange",787,"40",2020-07-01,40
"Orleans",506,"16",2020-07-01,16
"Otis",103,"<5",2020-07-01,2
"Oxford",1120,"82",2020-07-01,82
"Palmer",935,"49",2020-07-01,49
"Paxton",384,"33",2020-07-01,33
"Peabody",6474,"984",2020-07-01,984
"Pelham",93,"<5",2020-07-01,2
"Pembroke",1517,"92",2020-07-01,92
"Pepperell",812,"52",2020-07-01,52
"Peru",54,"<5",2020-07-01,2
"Petersham",118,"7",2020-07-01,7
"Phillipston",149,"16",2020-07-01,16
"Pittsfield",4908,"175",2020-07-01,175
"Plainfield",47,"<5",2020-07-01,2
"Plainville",800,"64",2020-07-01,64
"Plymouth",6567,"605",2020-07-01,605
"Plympton",231,"11",2020-07-01,11
"Princeton",292,"6",2020-07-01,6
"Provincetown",681,"22",2020-07-01,22
"Quincy",10583,"1135",2020-07-01,1135
"Randolph",5123,"950",2020-07-01,950
"Raynham",1731,"240",2020-07-01,240
"Reading",2717,"296",2020-07-01,296
"Rehoboth",879,"62",2020-07-01,62
"Revere",8517,"1782",2020-07-01,1782
"Richmond",96,"5",2020-07-01,5
"Rochester",510,"35",2020-07-01,35
"Rockland",1999,"285",2020-07-01,285
"Rockport",584,"82",2020-07-01,82
"Rowe",29,"0",2020-07-01,0
"Rowley",639,"57",2020-07-01,57
"Royalston",90,"<5",2020-07-01,2
"Russell",113,"12",2020-07-01,12
"Rutland",720,"53",2020-07-01,53
"Salem",5281,"633",2020-07-01,633
"Salisbury",802,"52",2020-07-01,52
"Sandisfield",143,"<5",2020-07-01,2
"Sandwich",1599,"93",2020-07-01,93
"Saugus",3700,"556",2020-07-01,556
"Savoy",38,"<5",2020-07-01,2
"Scituate",1635,"187",2020-07-01,187
"Seekonk",1039,"82",2020-07-01,82
"Sharon",1645,"157",2020-07-01,157
"Sheffield",248,"15",2020-07-01,15
"Shelburne",309,"8",2020-07-01,8
"Sherborn",306,"15",2020-07-01,15
"Shirley",2443,"176",2020-07-01,176
"Shrewsbury",3583,"319",2020-07-01,319
"Shutesbury",114,"<5",2020-07-01,2
"Somerset",2529,"204",2020-07-01,204
"Somerville",13750,"968",2020-07-01,968
"South Hadley",1294,"144",2020-07-01,144
"Southampton",412,"31",2020-07-01,31
"Southborough",836,"41",2020-07-01,41
"Southbridge",1304,"168",2020-07-01,168
"Southwick",750,"52",2020-07-01,52
"Spencer",967,"53",2020-07-01,53
"Springfield",17236,"2833",2020-07-01,2833
"Sterling",871,"122",2020-07-01,122
"Stockbridge",189,"14",2020-07-01,14
"Stoneham",2990,"378",2020-07-01,378
"Stoughton",3737,"610",2020-07-01,610
"Stow",540,"27",2020-07-01,27
"Sturbridge",560,"43",2020-07-01,43
"Sudbury",1787,"195",2020-07-01,195
"Sunderland",255,"9",2020-07-01,9
"Sutton",682,"50",2020-07-01,50
"Swampscott",1804,"129",2020-07-01,129
"Swansea",1827,"134",2020-07-01,134
"Taunton",7307,"974",2020-07-01,974
"Templeton",932,"123",2020-07-01,123
"Tewksbury",4774,"585",2020-07-01,585
"Tisbury",1093,"8",2020-07-01,8
"Tolland",12,"<5",2020-07-01,2
"Topsfield",685,"116",2020-07-01,116
"Townsend",771,"35",2020-07-01,35
"Truro",228,"10",2020-07-01,10
"Tyngsborough",1246,"93",2020-07-01,93
"Tyringham",25,"<5",2020-07-01,2
"Upton",505,"24",2020-07-01,24
"Uxbridge",1129,"77",2020-07-01,77
"Wakefield",3405,"314",2020-07-01,314
"Wales",103,"<5",2020-07-01,2
"Walpole",2883,"230",2020-07-01,230
"Waltham",7124,"1240",2020-07-01,1240
"Ware",764,"31",2020-07-01,31
"Wareham",2445,"211",2020-07-01,211
"Warren",298,"22",2020-07-01,22
"Warwick",55,"0",2020-07-01,0
"Washington",31,"<5",2020-07-01,2
"Watertown",3635,"391",2020-07-01,391
"Wayland",1337,"107",2020-07-01,107
"Webster",2120,"253",2020-07-01,253
"Wellesley",2330,"234",2020-07-01,234
"Wellfleet",273,"<5",2020-07-01,2
"Wendell",76,"0",2020-07-01,0
"Wenham",282,"19",2020-07-01,19
"West Boylston",810,"43",2020-07-01,43
"West Bridgewater",849,"140",2020-07-01,140
"West Brookfield",477,"19",2020-07-01,19
"West Newbury",325,"10",2020-07-01,10
"West Springfield",2891,"370",2020-07-01,370
"West Stockbridge",108,"5",2020-07-01,5
"West Tisbury",346,"8",2020-07-01,8
"Westborough",2073,"335",2020-07-01,335
"Westfield",3646,"451",2020-07-01,451
"Westford",2093,"141",2020-07-01,141
"Westhampton",85,"5",2020-07-01,5
"Westminster",699,"32",2020-07-01,32
"Weston",1298,"108",2020-07-01,108
"Westport",1590,"98",2020-07-01,98
"Westwood",1499,"127",2020-07-01,127
"Weymouth",6297,"720",2020-07-01,720
"Whately",51,"5",2020-07-01,5
"Whitman",1484,"188",2020-07-01,188
"Wilbraham",1366,"225",2020-07-01,225
"Williamsburg",323,"10",2020-07-01,10
"Williamstown",765,"82",2020-07-01,82
"Wilmington",2392,"328",2020-07-01,328
"Winchendon",1129,"88",2020-07-01,88
"Winchester",2317,"117",2020-07-01,117
"Windsor",55,"0",2020-07-01,0
"Winthrop",2075,"256",2020-07-01,256
"Woburn",4762,"632",2020-07-01,632
"Worcester",28678,"5227",2020-07-01,5227
"Worthington",81,"0",2020-07-01,0
"Wrentham",1522,"192",2020-07-01,192
"Yarmouth",2216,"114",2020-07-01,114
"Unknown",33678,"253",2020-07-01,253
"State",853150,"103858",2020-07-01,103858
